gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,stats_processed,player_stats_processed
0,,36.0,1827.13,3.0,1.0,,,True,25-26-friendly-brighton-hove-albion-vs-stoke-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,56.0,1547.1,1.0,0.0,,,True,25-26-friendly-sunderland-vs-augsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,,,1.0,1.0,2.0,1722.36,True,25-26-friendly-villarreal-vs-leeds-united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,,,0.0,1.0,54.0,1781.72,True,25-26-friendly-eintracht-frankfurt-vs-fulham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,4.0,1868.55,0.0,1.0,,,True,25-26-friendly-newcastle-united-vs-k-league-all-stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,56.0,1547.1,0.0,3.0,,,True,25-26-friendly-sunderland-vs-hearts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,,39.0,1735.76,1.0,1.0,,,True,25-26-friendly-wolverhampton-wanderers-vs-stoke-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
0,2025-07-26T11:30:00,,,4.0,2.0,14.0,1993.42,True,25-26-friendly-milan-vs-liverpool,68.0,32.0,,,18.0,10.0,7.0,8.0,2.0,4.0,1.0,1.0,629.0,270.0,92.0,85.0,5.0,12.0,4.0,1.0,,,,,,,,,9.0,2.0,2.0,0.0,1.0,0.0,13.0,8.0,5.0,2.0,681.0,317.0,184.0,153.0,445.0,117.0,27.0,21.0,73.0,48.0,4.0,2.0,17.0,40.0,13.0,11.0,42.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,9.0,69.0,60.0,6.0,16.0,0.0,2.0,10.0,27.0,4.0,5.0,42.0,31.0,36.0,26.0,58.0,42.0,6.0,5.0,55.0,45.0,8.0,6.0,42.0,43.0,True,True
0,2025-08-10T14:00:00,,,1.0,4.0,8.0,1902.8,True,25-26-friendly-milan-vs-chelsea,53.0,47.0,,,19.0,11.0,8.0,5.0,4.0,4.0,2.0,3.0,420.0,374.0,93.0,92.0,15.0,8.0,6.0,3.0,,,,,,,,,7.0,2.0,4.0,4.0,1.0,0.0,13.0,6.0,6.0,5.0,453.0,407.0,165.0,231.0,255.0,143.0,20.0,33.0,63.0,66.0,8.0,1.0,40.0,17.0,10.0,9.0,32.0,17.0,1.0,3.0,0.0,1.0,0.0,1.0,12.0,8.0,92.0,67.0,6.0,6.0,5.0,4.0,8.0,18.0,3.0,5.0,26.0,39.0,23.0,36.0,39.0,61.0,3.0,3.0,50.0,50.0,2.0,10.0,29.0,67.0,True,True
0,2025-08-08T18:30:00,,,2.0,2.0,94.0,1811.27,True,25-26-friendly-borussia-mönchengladbach-vs-brentford,47.0,53.0,1.75,1.38,13.0,9.0,8.0,2.0,5.0,3.0,3.0,2.0,343.0,408.0,82.0,85.0,15.0,6.0,8.0,1.0,1.05,1.0,0.7,0.38,1.75,1.38,2.14,1.55,2.0,5.0,3.0,2.0,0.0,0.0,10.0,6.0,3.0,3.0,420.0,480.0,201.0,264.0,142.0,144.0,27.0,32.0,59.0,58.0,7.0,3.0,44.0,33.0,20.0,13.0,30.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,67.0,42.0,14.0,9.0,2.0,3.0,9.0,30.0,0.0,6.0,29.0,51.0,20.0,36.0,36.0,64.0,9.0,15.0,38.0,63.0,2.0,4.0,17.0,50.0,True,True
