player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
406,26-27-prem-crystal-palace-vs-manchester-city,15.0,0.0,0.0,,,0.01,,,,0.0,34.0,28.0,93.0,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,1.0,100.0,,0.0,,,,,,,,0.0,,,,,,,,,75,90,0,0.0,0,,,,,,,
212,26-27-prem-crystal-palace-vs-manchester-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0,,,,,,,
199,26-27-prem-crystal-palace-vs-manchester-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0,,,,,,,
213,26-27-prem-crystal-palace-vs-manchester-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0,,,,,,,
390,26-27-prem-crystal-palace-vs-manchester-city,90.0,0.0,0.0,1.0,0.09,0.57,1.0,,,2.0,118.0,107.0,99.0,2.0,5.0,,,1.0,50.0,1.0,1.0,6.0,0.0,4.0,1.0,0.0,4.0,1.0,3.0,75.0,1.0,100.0,1.0,0.0,,,,,,,,0.0,,,,,,,0.18,,0,90,1,0.0,0,,,,,,,
384,26-27-prem-crystal-palace-vs-manchester-city,90.0,,,,,,,,,,43.0,,,,1.0,,,,,0.0,0.0,8.0,,0.0,,,,,,,,,,0.0,1.0,1.0,0.05,0.05,1.0,28.0,2.0,,1.0,,1.0,,,,,,0,90,1,0.0,0,,,,,,,
577,26-27-prem-crystal-palace-vs-manchester-city,74.0,0.0,0.0,,,,,,,1.0,39.0,21.0,84.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,100.0,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,,,0,74,3,0.0,0,,,,,,,
153,26-27-prem-crystal-palace-vs-manchester-city,16.0,0.0,0.0,,,,,,,0.0,8.0,5.0,71.0,0.0,1.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,2.0,1.0,50.0,0.0,0.0,,1.0,,,,,,,,0.0,,,,,,,,,74,90,1,0.0,0,,,,,,,
198,26-27-prem-crystal-palace-vs-manchester-city,90.0,,,,,,,,,,28.0,,,,2.0,,,,,0.0,0.0,11.0,,2.0,,,,,,,,,,0.0,4.0,4.0,3.08,-0.92,0.0,11.0,1.0,,2.0,,3.0,,,,,,0,90,4,0.0,0,,,,,,,
411,26-27-prem-crystal-palace-vs-manchester-city,90.0,2.0,0.0,5.0,0.66,,3.0,,,6.0,19.0,2.0,50.0,0.0,,,,,,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,5.0,1.0,20.0,2.0,67.0,1.0,0.0,,,,,,,,3.0,,,,,,,1.02,,0,90,1,0.0,0,,,,,,,
398,26-27-prem-crystal-palace-vs-manchester-city,90.0,0.0,2.0,3.0,0.87,0.45,0.0,,,4.0,70.0,44.0,92.0,3.0,3.0,1.0,25.0,2.0,100.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,5.0,7.0,5.0,45.0,0.0,0.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
222,26-27-prem-crystal-palace-vs-manchester-city,63.0,0.0,0.0,1.0,0.05,,0.0,,,1.0,18.0,6.0,67.0,0.0,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,40.0,1.0,50.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,0,63,3,0.0,0,,,,,,,
388,26-27-prem-crystal-palace-vs-manchester-city,90.0,0.0,0.0,,,0.04,,,,0.0,124.0,111.0,98.0,1.0,17.0,,,7.0,88.0,0.0,2.0,4.0,0.0,3.0,3.0,0.0,5.0,1.0,2.0,67.0,3.0,100.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,0,90,1,0.0,0,,,,,,,
201,26-27-prem-crystal-palace-vs-manchester-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0,,,,,,,
224,26-27-prem-crystal-palace-vs-manchester-city,68.0,0.0,0.0,2.0,0.36,,0.0,,,2.0,22.0,7.0,88.0,1.0,1.0,,,,,2.0,1.0,3.0,0.0,0.0,,2.0,4.0,9.0,4.0,36.0,0.0,0.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,0,68,3,0.0,0,,,,,,,
397,26-27-prem-crystal-palace-vs-manchester-city,90.0,0.0,1.0,2.0,0.06,0.57,1.0,,,11.0,68.0,41.0,93.0,3.0,1.0,1.0,25.0,,,1.0,0.0,2.0,0.0,0.0,,2.0,5.0,15.0,5.0,26.0,0.0,0.0,2.0,1.0,,,,,,,,3.0,,,,,,,0.2,,0,90,1,0.0,0,,,,,,,
392,26-27-prem-crystal-palace-vs-manchester-city,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0,,,,,,,
