id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
10,a,100.0,100.0,5.5,131,15,0,0,0,0,7.6,57,23,20,2,6.7,27,12,3,74,6.7,26,12,1.2,3.6,0,396168,87932,226347,83916,6.7,6.7,0.18,0.29,0.47,0.92,0.06,0.1,0.16,0.31,65.4,64,31,52.2,57,11,23.0,117,35,14.1,66,16,,,,3,,Benjamin,White,White,,,270,0,1,2,1,0,0,0,0,0,0,3,15,,,,0.0,0.67,0.33,1.0,5.0,4,11,9
17,a,,,5.9,89,58,0,0,-1,1,0.4,260,87,2,0,0.7,381,180,0,12,0.7,326,150,0.1,0.3,0,7054,1571,37116,7990,0.7,0.7,0.14,0.02,0.16,0.26,0.27,0.04,0.31,0.51,6.4,295,126,3.3,258,136,14.0,163,80,2.4,282,124,,,,3,,Mikel,Merino Zazón,Merino,,,46,0,0,0,0,0,0,0,1,0,0,0,6,,,,0.0,0.0,0.0,0.0,11.74,0,0,6
606,a,,,4.0,642,202,0,0,0,0,0.2,360,137,0,0,0.0,432,160,0,0,0.0,432,160,0.0,0.0,0,10179,2219,3302,1373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407,156,0.0,402,156,0.0,345,139,0.0,413,154,,,,3,,Triston,Rowe,Rowe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
37,a,,,4.5,453,94,0,0,0,0,0.3,297,108,6,6,2.0,191,74,0,25,2.0,173,69,0.4,1.3,0,7817,2831,8482,1476,2.0,2.0,0.0,0.16,0.16,5.38,0.0,0.05,0.05,1.79,39.2,150,68,26.2,140,45,2.0,265,98,6.7,192,74,,,,3,,Victor,Lindelöf,Lindelöf,,,270,0,0,1,5,1,0,0,0,0,0,3,14,,,,0.0,0.33,1.67,1.0,4.67,1,13,5
18,u,0.0,0.0,6.3,56,40,0,0,-2,2,0.1,430,167,0,0,0.0,647,287,0,0,0.0,647,287,0.0,0.0,0,2483,0,19016,5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647,288,0.0,648,288,0.0,647,288,0.0,647,288,,,,3,,Gabriel,Martinelli Silva,Martinelli,Has joined Al Hilal permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
39,u,0.0,0.0,4.0,647,207,0,0,0,0,0.2,367,140,0,0,0.0,436,164,0,0,0.0,436,164,0.0,0.0,0,0,0,12911,1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,160,0.0,406,160,0.0,350,144,0.0,417,158,,,,3,,Kosta,Nedeljkovic,Nedeljkovic,Has joined Rangers on loan for the rest of the season,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
30,u,0.0,0.0,4.5,432,84,0,0,0,0,0.1,483,171,0,0,0.0,449,174,0,0,0.0,449,174,0.0,0.0,0,0,0,7805,757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,170,0.0,421,170,0.0,368,157,0.0,430,168,,,,3,,Lucas,Digne,Digne,Has joined Paris Saint-Germain permanently,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
7,a,,,5.5,170,104,0,0,0,0,0.7,227,74,8,2,2.7,153,64,0,35,2.7,138,59,0.5,1.5,0,23998,5456,30520,7979,2.7,2.7,0.16,0.23,0.39,0.79,0.06,0.09,0.15,0.31,21.6,213,86,38.8,96,65,16.0,143,73,7.0,184,86,,,,3,,Myles,Lewis-Skelly,Lewis-Skelly,,,226,0,0,2,1,0,0,0,0,0,0,3,14,,,,0.0,0.8,0.4,1.19,5.58,1,5,8
51,a,,,4.5,539,278,0,0,0,0,1.2,164,51,7,3,2.3,171,71,0,29,2.3,153,65,0.5,1.6,0,82106,36958,35983,16064,2.3,2.3,0.07,0.15,0.22,5.0,0.03,0.06,0.09,1.92,23.2,205,82,29.4,130,79,23.0,116,60,7.5,169,77,,,,3,,George,Hemmings,George Hemmings,,,234,0,0,1,5,0,0,0,0,0,0,3,18,,,,0.0,0.38,1.92,1.15,6.92,6,2,10
19,a,,,5.4,219,138,0,0,-1,1,0.7,221,71,3,1,1.0,335,151,0,9,1.0,268,121,0.2,0.6,0,6332,1268,50014,9405,1.0,1.0,0.08,0.04,0.12,0.28,0.14,0.07,0.21,0.5,10.0,270,115,4.0,247,131,11.0,186,91,2.5,278,121,,,,3,,Martín,Zubimendi Ibáñez,Zubimendi,,,50,0,0,0,0,0,0,0,0,0,0,0,9,,,,0.0,0.0,0.0,0.0,16.2,3,4,2
